prompt,model,model_family,base_or_instruct,model_output,yes_prob,no_prob,odds_ratio
"Is a ""bonus"" a form of ""wages""?",google/flan-t5-base,flan,instruct,No,0.24669717252254486,0.7528178095817566,0.32769837453713074
"Is ""forwarding"" an email ""sending"" that email?",google/flan-t5-base,flan,instruct,No,0.4572089910507202,0.5418400764465332,0.8438079996761478
"Is a ""chatbot"" a ""service""?",google/flan-t5-base,flan,instruct,Yes,0.7169474959373474,0.28254419565200806,2.537470268263329
"Is ""plagiarism"" a form of ""theft""?",google/flan-t5-base,flan,instruct,No,0.21462565660476685,0.7848763465881348,0.27345155391387027
"Is ""remote viewing"" of an event ""attending"" it?",google/flan-t5-base,flan,instruct,No,0.33600547909736633,0.6631074547767639,0.5067134695544677
"Is ""whistling"" a form of ""music""?",google/flan-t5-base,flan,instruct,Yes,0.7020214796066284,0.2973090708255768,2.3612514668901086
"Is ""caching"" data in computer memory ""storing"" that data?",google/flan-t5-base,flan,instruct,No,0.4771421253681183,0.5225050449371338,0.9131818534412937
"Is a ""waterway"" a form of ""roadway""?",google/flan-t5-base,flan,instruct,No,0.22744517028331757,0.7718830704689026,0.2946627267587945
"Is a ""deepfake"" a ""portrait""?",google/flan-t5-base,flan,instruct,No,0.2749207019805908,0.7245040535926819,0.37946054355018416
"Is ""humming"" a form of ""singing""?",google/flan-t5-base,flan,instruct,Yes,0.5941579937934875,0.40478500723838806,1.4678359701291332
"Is ""liking"" a social media post ""endorsing"" it?",google/flan-t5-base,flan,instruct,Yes,0.6062238812446594,0.3931313753128052,1.5420389195909425
"Is ""herding"" animals a form of ""transporting"" them?",google/flan-t5-base,flan,instruct,Yes,0.5120010375976562,0.48760154843330383,1.0500398106666182
"Is an ""NFT"" a ""security""?",google/flan-t5-base,flan,instruct,No,0.12291068583726883,0.8766059875488281,0.14021200811205106
"Is ""sleeping"" an ""activity""?",google/flan-t5-base,flan,instruct,Yes,0.5482081174850464,0.4511639475822449,1.2150973508030822
"Is a ""driverless car"" a ""motor vehicle operator""?",google/flan-t5-base,flan,instruct,No,0.24318580329418182,0.7564160227775574,0.3214974246595204
"Is a ""subscription fee"" a form of ""purchase""?",google/flan-t5-base,flan,instruct,Yes,0.5485764741897583,0.45102643966674805,1.2162845144845333
"Is ""mentoring"" someone a form of ""supervising"" them?",google/flan-t5-base,flan,instruct,Yes,0.6583132743835449,0.34107011556625366,1.9301405908594358
"Is a ""biometric scan"" a form of ""signature""?",google/flan-t5-base,flan,instruct,No,0.3091685473918915,0.6904568076133728,0.4477739142880796
"Is a ""digital wallet"" a ""bank account""?",google/flan-t5-base,flan,instruct,No,0.05771813541650772,0.9420439004898071,0.061269050610590126
"Is ""dictation"" a form of ""writing""?",google/flan-t5-base,flan,instruct,Yes,0.5993424654006958,0.4001508057117462,1.497791474728255
"Is a ""virtual tour"" a form of ""inspection""?",google/flan-t5-base,flan,instruct,No,0.4828110337257385,0.5164653658866882,0.9348371945461036
"Is ""bartering"" a form of ""payment""?",google/flan-t5-base,flan,instruct,No,0.4495915472507477,0.5499943494796753,0.8174475750088812
"Is a ""nest"" a form of ""dwelling""?",google/flan-t5-base,flan,instruct,Yes,0.6018849015235901,0.39777305722236633,1.513136424388642
"Is a ""QR code"" a ""document""?",google/flan-t5-base,flan,instruct,No,0.1735859513282776,0.8261129856109619,0.21012374136680587
"Is a ""tent"" a ""building""?",google/flan-t5-base,flan,instruct,No,0.16236823797225952,0.8370479941368103,0.19397721410192095
"Is a ""whisper"" a form of ""speech""?",google/flan-t5-base,flan,instruct,Yes,0.7948177456855774,0.2045251429080963,3.886161546615958
"Is ""hiking"" a form of ""travel""?",google/flan-t5-base,flan,instruct,Yes,0.7846911549568176,0.21483710408210754,3.652493633766914
"Is a ""recipe"" a form of ""instruction""?",google/flan-t5-base,flan,instruct,Yes,0.5824080109596252,0.41704195737838745,1.3965213826943534
"Is ""daydreaming"" a form of ""thinking""?",google/flan-t5-base,flan,instruct,Yes,0.7316381335258484,0.26764750480651855,2.7335884713543175
"Is ""gossip"" a form of ""news""?",google/flan-t5-base,flan,instruct,No,0.4510113298892975,0.5482903122901917,0.8225776012810387
"Is a ""mountain"" a form of ""hill""?",google/flan-t5-base,flan,instruct,No,0.3382939100265503,0.6608935594558716,0.5118735160697817
"Is ""walking"" a form of ""exercise""?",google/flan-t5-base,flan,instruct,Yes,0.6956885457038879,0.3035900890827179,2.291539054538558
"Is a ""candle"" a ""lamp""?",google/flan-t5-base,flan,instruct,No,0.25693532824516296,0.7425146102905273,0.3460340371546772
"Is a ""trail"" a ""road""?",google/flan-t5-base,flan,instruct,Yes,0.5701678991317749,0.428864449262619,1.3294827773953057
"Is ""repainting"" a house ""repairing"" it?",google/flan-t5-base,flan,instruct,No,0.32205963134765625,0.6768712997436523,0.4758063039009455
"Is ""kneeling"" a form of ""sitting""?",google/flan-t5-base,flan,instruct,Yes,0.5359703898429871,0.463390976190567,1.156626730734118
"Is a ""mask"" a form of ""clothing""?",google/flan-t5-base,flan,instruct,Yes,0.5121439099311829,0.4873804748058319,1.0508092474061799
"Is a ""screenshot"" a ""photograph""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is a ""tweet"" a ""publication""?",0.0004006232775282115,0.0003647716366685927,1.0982851659932957
"Is ""advising"" someone ""instructing"" them?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Is ""sitting"" a ""position""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""sitting"" a ""state""? Answer either 'Yes",0.0005025236750952899,0.00030718656489625573,1.6358907990165659
"Is an ""algorithm"" a ""procedure""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Is a ""computer"" a ""machine""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is a ""computer program"" a ""program""? Answer either '",0.0004398775636218488,0.00037919817259535193,1.1600202622580904
"Is a ""drone"" an ""aircraft""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a",0.0003852220834232867,0.000324389518937096,1.1875293772915858
"Is ""reading aloud"" a form of ""performance""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is ""reading"" a ""form of communication""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""reading"" a ""form of",0.00029769440880045295,0.00025864140479825437,1.1509928544993047
"Is ""training"" an AI model ""authoring"" content?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Is ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""tweet"" a ""publication""? Answer either",0.00047546668793074787,0.00037319809780456126,1.2740329887204926
"Is a ""wedding"" a ""party""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is a ""wet"" a ""weather""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""wet"" a """,0.0004296933184377849,0.0002526036696508527,1.701057308596128
"Is ""streaming"" a video ""broadcasting"" that video?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Is ""streaming"" a ""broadcasting"" that video? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""streaming"" a ""broadcasting",0.00042953758384101093,0.0003820386191364378,1.1243302700966202
"Is ""braiding"" hair a form of ""weaving""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a",0.41571101546287537,0.5682095885276794,0.7316156289091286
"Is ""digging"" a form of ""construction""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is ""tweet"" a ""public",0.00032436882611364126,0.00029304283089004457,1.1068990329108266
"Is a ""smartphone"" a ""computer""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is a ""smartwatch"" a ""computer""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""smartwatch"" a """,0.0007080252980813384,0.0002928520261775702,2.4176896001806343
"Is a ""cactus"" a ""tree""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is a ""cactus"" a ""plant""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""cactus""",0.0004295454127714038,0.00036740966606885195,1.169118432205068
"Is a ""bonus"" a form of ""wages""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a",0.0005302720237523317,0.0006151262205094099,0.8620540078964491
"Is ""forwarding"" an email ""sending"" that email?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Is ""forwarding"" an email ""sending"" that email? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""forwarding"" an email """,0.0003619389026425779,0.0002977228141389787,1.2156908555674968
"Is a ""chatbot"" a ""service""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is a ""chatbot"" a ""service""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""chatbot"" a """,0.00036760797956958413,0.00024487971677444875,1.5011777390618948
"Is ""plagiarism"" a form of ""theft""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a",0.3322128355503082,0.6504411697387695,0.5107500124626669
"Is ""remote viewing"" of an event ""attending"" it?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Is ""remote viewing"" of an event ""participating"" in it? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""remote viewing"" of an",0.43156108260154724,0.5455442667007446,0.7910651966181834
"Is ""whistling"" a form of ""music""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is ""whiskey"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is ""whiskey""",0.4291628301143646,0.5510559678077698,0.7788008027962664
"Is ""caching"" data in computer memory ""storing"" that data?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Is ""caching"" data in computer memory ""storing"" that data? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""caching"" data",0.00041002529906108975,0.00029303188784979284,1.3992514673736374
"Is a ""waterway"" a form of ""roadway""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is a ""waterfall"" a ""river""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""watering can"" a",0.0003562494821380824,0.0003646977129392326,0.9768349772937626
"Is a ""deepfake"" a ""portrait""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a",0.00047176849329844117,0.000246669864282012,1.9125501798593407
"Is ""humming"" a form of ""singing""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is ""sitting"" a ""position""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is ""sitting"" a ""position""?",0.4144713878631592,0.5665152072906494,0.7316156433740983
"Is ""liking"" a social media post ""endorsing"" it?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is ""tweet"" a ""public",0.31641268730163574,0.659460723400116,0.4798052045772224
"Is ""herding"" animals a form of ""transporting"" them?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is ""sport"" a ""game""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""sport"" a ""game""?",0.3741591274738312,0.6073201894760132,0.6160821490170615
"Is an ""NFT"" a ""security""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a",0.0005688125384040177,0.0004033485020045191,1.410225984668823
"Is ""sleeping"" an ""activity""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Is ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""tweet"" a ""publication""? Answer either",0.0002977967669721693,0.00021116955031175166,1.4102258897295041
"Is a ""driverless car"" a ""motor vehicle operator""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is a ""tweet"" a ""publication""?",0.00027964162291027606,0.0002194931876147166,1.2740332670421641
"Is a ""subscription fee"" a form of ""purchase""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is a ""subscription fee"" a form of ""purchase""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""sub",0.00040370531496591866,0.00033468345645815134,1.2062302667667046
"Is ""mentoring"" someone a form of ""supervising"" them?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""tweet"" a",0.0003267945139668882,0.00033716807956807315,0.9692332512185793
"Is a ""biometric scan"" a form of ""signature""?",EleutherAI/pythia-6.9b,pythia,base,"Answer: No.

Question: Is a ""biometric scan"" a form of ""signature""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Question: Is a ""biometric",0.0004230476333759725,0.0004230476333759725,1.0
